epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.594,0.45769,0.49694,0.86321,0.9236,0.9182,0.96008,0.83316,0.49696,0.50141,0.81682,0.000832667,0.000832667,0.000832667
2,516.877,0.4642,0.46857,0.86584,0.9522,0.92422,0.96888,0.84755,0.47298,0.43616,0.81401,0.00133627,0.00133627,0.00133627
3,763.345,0.42101,0.39759,0.85256,0.96239,0.95658,0.98397,0.90867,0.40508,0.34927,0.78068,0.00100687,0.00100687,0.00100687
4,1005.18,0.37467,0.33501,0.84005,0.97918,0.96961,0.98886,0.92642,0.35039,0.29154,0.76801,0.000676802,0.000676802,0.000676802
5,1248.15,0.33134,0.28621,0.82778,0.98426,0.96771,0.98997,0.94271,0.31501,0.25569,0.75482,0.000346736,0.000346736,0.000346736
